"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5844","Verify Hamburger Menu, Reset App State, and Logout Functionality","","2026-06-16","passed","2026-06-16","","","",""
"","4446","Verify Invalid Login Scenarios","","2026-06-16","passed","2026-06-16","","","",""
"","4093","Verify Cart Details and Remove Product Functionality","","2026-06-16","passed","2026-06-16","","","",""
"","2930","Verify Adding Multiple Products to Cart","","2026-06-16","passed","2026-06-16","","","",""
"","3668","Verify Login and Product Inventory Details","","2026-06-16","passed","2026-06-16","","","",""
"","4432","Verify Complete Checkout Flow and Price Calculation","","2026-06-16","passed","2026-06-16","","","",""
"","4411","Verify Checkout Cancellation Flow","","2026-06-16","passed","2026-06-16","","","",""
"","4136","Verify Product Details Page Navigation","","2026-06-16","passed","2026-06-16","","","",""
"","4123","Verify Cart Persistence During Navigation","","2026-06-16","passed","2026-06-16","","","",""
"","4241","Verify Product Sorting Functionality","","2026-06-16","passed","2026-06-16","","","",""
